"year","state","month","number","date"
1999,"Santa Catarina","Dezembro",89,1999-01-01
2005,"Rio","Setembro",37,2005-01-01
2010,"Paraiba","Outubro",230,2010-01-01
2001,"Amazonas","Janeiro",3,2001-01-01
1998,"Alagoas","Abril",0,1998-01-01
2001,"Pernambuco","Dezembro",62,2001-01-01
2015,"Roraima","Dezembro",304,2015-01-01
1999,"Sao Paulo","Outubro",763,1999-01-01
2005,"Paraiba","Fevereiro",15,2005-01-01
2017,"Maranhao","Setembro",14.825,2017-01-01
2002,"Rio","Agosto",824,2002-01-01
2004,"Paraiba","Abril",3,2004-01-01
2010,"Mato Grosso","Outubro",597,2010-01-01
2000,"Goias","Junho",222,2000-01-01
2001,"Minas Gerais","Junho",166,2001-01-01
1999,"Par�","Dezembro",766,1999-01-01
2001,"Rio","Julho",6,2001-01-01
2009,"Acre","Mar�o",1,2009-01-01
2017,"Ceara","Outubro",949,2017-01-01
2003,"Paraiba","Abril",130,2003-01-01
2002,"Ceara","Fevereiro",75,2002-01-01
2015,"Rio","Abril",24,2015-01-01
2003,"Maranhao","Mar�o",16,2003-01-01
2004,"Bahia","Junho",289,2004-01-01
2003,"Acre","Julho",168,2003-01-01
2014,"Rio","Dezembro",31,2014-01-01
2012,"Acre","Julho",71,2012-01-01
2015,"Maranhao","Setembro",6.423,2015-01-01
2011,"Par�","Junho",105,2011-01-01
2007,"Rio","Junho",3,2007-01-01
2002,"Rondonia","Julho",539,2002-01-01
2014,"Bahia","Julho",249,2014-01-01
2016,"Santa Catarina","Novembro",156,2016-01-01
2002,"Paraiba","Junho",1,2002-01-01
2017,"Rio","Mar�o",10,2017-01-01
2001,"Par�","Fevereiro",16,2001-01-01
2012,"Amazonas","Julho",234,2012-01-01
2012,"Espirito Santo","Agosto",12,2012-01-01
2003,"Santa Catarina","Julho",43,2003-01-01
2012,"Rio","Novembro",69,2012-01-01
2012,"Amapa","Dezembro",422,2012-01-01
2009,"Sao Paulo","Dezembro",37,2009-01-01
2011,"Par�","Maio",16,2011-01-01
2001,"Sao Paulo","Setembro",425,2001-01-01
2003,"Acre","Janeiro",10,2003-01-01
2007,"Mato Grosso","Outubro",668,2007-01-01
2007,"Santa Catarina","Outubro",35,2007-01-01
2011,"Rio","Abril",0,2011-01-01
2012,"Santa Catarina","Setembro",188,2012-01-01
2013,"Paraiba","Novembro",95,2013-01-01
1999,"Pernambuco","Abril",2,1999-01-01
2007,"Roraima","Janeiro",194,2007-01-01
2013,"Amapa","Dezembro",148,2013-01-01
2003,"Acre","Setembro",3.942,2003-01-01
2008,"Bahia","Fevereiro",235,2008-01-01
2001,"Ceara","Agosto",219,2001-01-01
1998,"Mato Grosso","Julho",3.712,1998-01-01
2003,"Mato Grosso","Maio",74,2003-01-01
2014,"Amapa","Junho",0,2014-01-01
2001,"Espirito Santo","Abril",2,2001-01-01
2006,"Pernambuco","Maio",1,2006-01-01
2016,"Par�","Mar�o",81,2016-01-01
2004,"Mato Grosso","Abril",97,2004-01-01
2014,"Roraima","Agosto",12,2014-01-01
2013,"Paraiba","Mar�o",18,2013-01-01
2005,"Pernambuco","Janeiro",221,2005-01-01
2005,"Piau","Maio",22,2005-01-01
2005,"Sao Paulo","Maio",212,2005-01-01
2000,"Piau","Mar�o",14,2000-01-01
2017,"Tocantins","Abril",164,2017-01-01
2003,"Mato Grosso","Maio",942,2003-01-01
2005,"Minas Gerais","Novembro",422,2005-01-01
2001,"Amazonas","Setembro",166,2001-01-01
2001,"Minas Gerais","Dezembro",44,2001-01-01
2007,"Minas Gerais","Abril",35,2007-01-01
2010,"Espirito Santo","Fevereiro",15,2010-01-01
2000,"Bahia","Dezembro",24,2000-01-01
1999,"Mato Grosso","Julho",1.297,1999-01-01
1998,"Bahia","Junho",55,1998-01-01
2012,"Paraiba","Setembro",459,2012-01-01
2004,"Sao Paulo","Mar�o",73,2004-01-01
1998,"Goias","Abril",0,1998-01-01
2001,"Par�","Janeiro",34,2001-01-01
2015,"Sergipe","Julho",0,2015-01-01
2005,"Amapa","Mar�o",0,2005-01-01
2012,"Tocantins","Junho",922,2012-01-01
2016,"Alagoas","Julho",3,2016-01-01
2011,"Santa Catarina","Mar�o",8,2011-01-01
2010,"Mato Grosso","Abril",769,2010-01-01
2012,"Minas Gerais","Agosto",901,2012-01-01
1999,"Amapa","Agosto",0,1999-01-01
2007,"Rio","Mar�o",7,2007-01-01
2014,"Ceara","Fevereiro",18,2014-01-01
2003,"Amazonas","Julho",180,2003-01-01
2013,"Pernambuco","Setembro",143,2013-01-01
2001,"Par�","Setembro",6.139,2001-01-01
2013,"Piau","Setembro",2.311,2013-01-01
2005,"Maranhao","Junho",529,2005-01-01
2014,"Mato Grosso","Dezembro",466,2014-01-01
2000,"Rondonia","Junho",54,2000-01-01
2000,"Tocantins","Junho",278,2000-01-01
2007,"Amapa","Fevereiro",0,2007-01-01
2012,"Sao Paulo","Maio",82,2012-01-01
2006,"Bahia","Julho",229,2006-01-01
2010,"Amazonas","Maio",13,2010-01-01
2002,"Rio","Maio",4,2002-01-01
2009,"Piau","Janeiro",79,2009-01-01
2013,"Paraiba","Maio",85,2013-01-01
2015,"Santa Catarina","Dezembro",19,2015-01-01
2017,"Acre","Agosto",1.493,2017-01-01
2016,"Sergipe","Dezembro",36,2016-01-01
2001,"Distrito Federal","Dezembro",1,2001-01-01
1998,"Par�","Outubro",3.665,1998-01-01
2014,"Mato Grosso","Janeiro",315,2014-01-01
2004,"Goias","Fevereiro",11,2004-01-01
2013,"Acre","Mar�o",2,2013-01-01
2005,"Minas Gerais","Setembro",2.047,2005-01-01
2006,"Rio","Junho",7,2006-01-01
1998,"Paraiba","Outubro",61,1998-01-01
2004,"Paraiba","Junho",0,2004-01-01
2011,"Rondonia","Fevereiro",2,2011-01-01
2011,"Paraiba","Janeiro",11,2011-01-01
2003,"Bahia","Julho",261,2003-01-01
2014,"Santa Catarina","Setembro",208,2014-01-01
2014,"Rio","Fevereiro",116,2014-01-01
2007,"Espirito Santo","Setembro",63,2007-01-01
2000,"Paraiba","Junho",2,2000-01-01
2014,"Maranhao","Maio",148,2014-01-01
2010,"Roraima","Julho",1,2010-01-01
2005,"Rio","Junho",50,2005-01-01
2004,"Paraiba","Mar�o",3,2004-01-01
2010,"Amapa","Janeiro",2,2010-01-01
2000,"Rio","Junho",0,2000-01-01
2010,"Rondonia","Abril",19,2010-01-01
2001,"Sao Paulo","Outubro",444,2001-01-01
2008,"Distrito Federal","Fevereiro",0,2008-01-01
2005,"Paraiba","Agosto",800,2005-01-01
2006,"Rondonia","Janeiro",16,2006-01-01
2011,"Sergipe","Outubro",5,2011-01-01
2006,"Goias","Fevereiro",21,2006-01-01
2005,"Mato Grosso","Julho",859,2005-01-01
2013,"Espirito Santo","Outubro",37,2013-01-01
2011,"Par�","Abril",10,2011-01-01
2012,"Mato Grosso","Dezembro",194,2012-01-01
2000,"Amazonas","Agosto",180,2000-01-01
2001,"Minas Gerais","Abril",60,2001-01-01
2013,"Rio","Maio",16,2013-01-01
2001,"Distrito Federal","Mar�o",0,2001-01-01
2016,"Roraima","Maio",22,2016-01-01
1998,"Pernambuco","Julho",5,1998-01-01
2013,"Acre","Dezembro",3,2013-01-01
2005,"Sao Paulo","Abril",62,2005-01-01
2004,"Rio","Setembro",431,2004-01-01
2007,"Santa Catarina","Julho",12,2007-01-01
2006,"Acre","Abril",0,2006-01-01
2005,"Minas Gerais","Maio",134,2005-01-01
2000,"Sao Paulo","Agosto",915,2000-01-01
2015,"Acre","Agosto",1.397,2015-01-01
2009,"Par�","Maio",7,2009-01-01
1999,"Roraima","Setembro",3,1999-01-01
2017,"Amazonas","Novembro",552,2017-01-01
2010,"Espirito Santo","Agosto",39,2010-01-01
2000,"Rio","Novembro",9,2000-01-01
2007,"Amazonas","Julho",116,2007-01-01
2009,"Par�","Junho",38,2009-01-01
2002,"Santa Catarina","Dezembro",76,2002-01-01
1998,"Par�","Julho",638,1998-01-01
2005,"Rio","Junho",0,2005-01-01
2010,"Minas Gerais","Abril",112,2010-01-01
2012,"Alagoas","Dezembro",59,2012-01-01
2004,"Mato Grosso","Agosto",1.408,2004-01-01
2017,"Rio","Agosto",164,2017-01-01
2011,"Rondonia","Agosto",1.161,2011-01-01
2008,"Espirito Santo","Agosto",13,2008-01-01
2015,"Amapa","Novembro",1.3,2015-01-01
2014,"Par�","Abril",27,2014-01-01
2016,"Acre","Setembro",3.586,2016-01-01
2008,"Rio","Julho",0,2008-01-01
2010,"Rio","Fevereiro",23,2010-01-01
2008,"Ceara","Novembro",1.753,2008-01-01
2012,"Pernambuco","Abril",46,2012-01-01
2015,"Goias","Mar�o",76,2015-01-01
2015,"Par�","Dezembro",6.61,2015-01-01
2009,"Distrito Federal","Janeiro",1,2009-01-01
2009,"Rio","Junho",0,2009-01-01
2016,"Pernambuco","Novembro",191,2016-01-01
2003,"Goias","Maio",57,2003-01-01
2009,"Santa Catarina","Novembro",61,2009-01-01
2002,"Rondonia","Janeiro",6,2002-01-01
2012,"Minas Gerais","Maio",144,2012-01-01
2004,"Goias","Julho",778,2004-01-01
2006,"Paraiba","Dezembro",196,2006-01-01
2008,"Amazonas","Fevereiro",32,2008-01-01
2005,"Bahia","Mar�o",158,2005-01-01
2010,"Amazonas","Novembro",354,2010-01-01
2010,"Paraiba","Dezembro",65,2010-01-01
2000,"Maranhao","Outubro",2.654,2000-01-01
2000,"Sergipe","Julho",0,2000-01-01
2014,"Distrito Federal","Agosto",99,2014-01-01
2000,"Sergipe","Outubro",3,2000-01-01
2004,"Sergipe","Dezembro",66,2004-01-01
2008,"Rio","Novembro",14,2008-01-01
2009,"Bahia","Novembro",402,2009-01-01
2012,"Maranhao","Abril",97,2012-01-01
2009,"Amapa","Agosto",20,2009-01-01
2013,"Par�","Janeiro",167,2013-01-01
2008,"Rio","Agosto",56,2008-01-01
2007,"Par�","Dezembro",689,2007-01-01
2005,"Mato Grosso","Agosto",4.484,2005-01-01
2009,"Ceara","Janeiro",347,2009-01-01
2001,"Espirito Santo","Julho",12,2001-01-01
2016,"Espirito Santo","Junho",49,2016-01-01
2004,"Distrito Federal","Maio",9,2004-01-01
2000,"Roraima","Setembro",12,2000-01-01
2012,"Rio","Agosto",410,2012-01-01
2007,"Par�","Outubro",2.504,2007-01-01
2016,"Mato Grosso","Janeiro",127,2016-01-01
2010,"Santa Catarina","Julho",31,2010-01-01
2015,"Paraiba","Julho",137,2015-01-01
2005,"Pernambuco","Agosto",10,2005-01-01
2001,"Sergipe","Junho",0,2001-01-01
2014,"Tocantins","Novembro",451,2014-01-01
2014,"Santa Catarina","Agosto",459,2014-01-01
2002,"Mato Grosso","Janeiro",304,2002-01-01
1999,"Rio","Julho",14,1999-01-01
1999,"Amazonas","Junho",7,1999-01-01
2003,"Tocantins","Janeiro",35,2003-01-01
2001,"Sergipe","Maio",3,2001-01-01
2012,"Piau","Dezembro",334,2012-01-01
2012,"Par�","Junho",183,2012-01-01
2006,"Espirito Santo","Fevereiro",45,2006-01-01
2003,"Paraiba","Maio",0,2003-01-01
2012,"Rio","Julho",134,2012-01-01
2015,"Alagoas","Fevereiro",46,2015-01-01
2013,"Mato Grosso","Fevereiro",375,2013-01-01
2003,"Paraiba","Abril",0,2003-01-01
2007,"Roraima","Abril",58,2007-01-01
1998,"Amazonas","Abril",0,1998-01-01
2010,"Espirito Santo","Janeiro",52,2010-01-01
2003,"Acre","Outubro",740,2003-01-01
2012,"Amazonas","Junho",45,2012-01-01
2001,"Espirito Santo","Junho",9,2001-01-01
2013,"Acre","Fevereiro",0,2013-01-01
2001,"Santa Catarina","Outubro",26,2001-01-01
2002,"Goias","Julho",686,2002-01-01
2015,"Mato Grosso","Mar�o",705,2015-01-01
1999,"Alagoas","Mar�o",52,1999-01-01
2001,"Sergipe","Setembro",1,2001-01-01
2005,"Alagoas","Dezembro",16,2005-01-01
2016,"Rio","Janeiro",9,2016-01-01
2011,"Maranhao","Fevereiro",9,2011-01-01
2000,"Acre","Julho",1,2000-01-01
2010,"Rio","Dezembro",103,2010-01-01
2011,"Tocantins","Dezembro",105,2011-01-01
2012,"Goias","Mar�o",57,2012-01-01
2008,"Sergipe","Abril",2,2008-01-01
2008,"Mato Grosso","Fevereiro",78,2008-01-01
2009,"Maranhao","Agosto",1.766,2009-01-01
2003,"Rondonia","Agosto",7.06,2003-01-01
2004,"Paraiba","Agosto",1.237,2004-01-01
2010,"Rio","Agosto",267,2010-01-01
2001,"Mato Grosso","Janeiro",97,2001-01-01
2007,"Rondonia","Janeiro",33,2007-01-01
2008,"Acre","Maio",0,2008-01-01
2016,"Paraiba","Dezembro",45,2016-01-01
2013,"Goias","Abril",42,2013-01-01
1998,"Acre","Fevereiro",0,1998-01-01
2009,"Minas Gerais","Agosto",685,2009-01-01
2000,"Acre","Dezembro",0,2000-01-01
2003,"Maranhao","Abril",79,2003-01-01
2006,"Rio","Abril",59,2006-01-01
2004,"Par�","Maio",44,2004-01-01
2007,"Rio","Maio",2,2007-01-01
2008,"Tocantins","Fevereiro",6,2008-01-01
2010,"Pernambuco","Dezembro",117,2010-01-01
2010,"Pernambuco","Mar�o",59,2010-01-01
2005,"Mato Grosso","Novembro",1.368,2005-01-01
2015,"Rondonia","Setembro",6.129,2015-01-01
2014,"Rondonia","Novembro",202,2014-01-01
2004,"Paraiba","Outubro",666,2004-01-01
1998,"Sao Paulo","Mar�o",0,1998-01-01
2009,"Rio","Abril",1,2009-01-01
2016,"Rio","Janeiro",15,2016-01-01
2013,"Roraima","Maio",4,2013-01-01
2012,"Sao Paulo","Dezembro",64,2012-01-01
2001,"Pernambuco","Novembro",208,2001-01-01
2009,"Rio","Maio",177,2009-01-01
1998,"Rio","Agosto",9,1998-01-01
2000,"Rio","Dezembro",11,2000-01-01
2002,"Mato Grosso","Novembro",1.47,2002-01-01
2012,"Amazonas","Fevereiro",25,2012-01-01
2014,"Minas Gerais","Agosto",1.952,2014-01-01
2012,"Goias","Agosto",912,2012-01-01
2002,"Rio","Junho",13,2002-01-01
2008,"Rio","Junho",0,2008-01-01
2002,"Tocantins","Outubro",1.537,2002-01-01
2001,"Espirito Santo","Outubro",19,2001-01-01
2006,"Acre","Mar�o",0,2006-01-01
2014,"Mato Grosso","Fevereiro",199,2014-01-01
2007,"Paraiba","Julho",60,2007-01-01
1998,"Sao Paulo","Outubro",434,1998-01-01
2000,"Rio","Setembro",17,2000-01-01
2007,"Sao Paulo","Outubro",281,2007-01-01
2004,"Roraima","Outubro",53,2004-01-01
2010,"Maranhao","Fevereiro",93,2010-01-01
2000,"Rondonia","Novembro",13,2000-01-01
1998,"Mato Grosso","Janeiro",0,1998-01-01
2000,"Rio","Janeiro",1,2000-01-01
1998,"Paraiba","Junho",3,1998-01-01
2010,"Pernambuco","Maio",8,2010-01-01
2012,"Paraiba","Setembro",71,2012-01-01
2014,"Ceara","Outubro",517,2014-01-01
2004,"Rio","Junho",19,2004-01-01
2017,"Alagoas","Abril",7,2017-01-01
2002,"Rio","Dezembro",8,2002-01-01
2011,"Sergipe","Agosto",1,2011-01-01
2012,"Amapa","Maio",2,2012-01-01
2013,"Tocantins","Fevereiro",37,2013-01-01
2000,"Paraiba","Dezembro",34,2000-01-01
2016,"Distrito Federal","Junho",42,2016-01-01
2006,"Rio","Setembro",50,2006-01-01
2014,"Pernambuco","Janeiro",99,2014-01-01
2007,"Espirito Santo","Agosto",82,2007-01-01
2008,"Bahia","Setembro",4.837,2008-01-01
2001,"Tocantins","Dezembro",21,2001-01-01
2013,"Rio","Dezembro",12,2013-01-01
1999,"Sao Paulo","Julho",684,1999-01-01
2014,"Amapa","Outubro",480,2014-01-01
2001,"Mato Grosso","Fevereiro",89,2001-01-01
2009,"Par�","Dezembro",2.832,2009-01-01
2005,"Rondonia","Setembro",13.972,2005-01-01
2006,"Ceara","Agosto",50,2006-01-01
2007,"Goias","Agosto",2.382,2007-01-01
2008,"Rondonia","Julho",138,2008-01-01
2012,"Tocantins","Maio",467,2012-01-01
2002,"Sao Paulo","Agosto",719,2002-01-01
2006,"Sergipe","Julho",0,2006-01-01
2016,"Mato Grosso","Julho",3.495,2016-01-01
2017,"Acre","Novembro",98,2017-01-01
2001,"Sao Paulo","Junho",346,2001-01-01
1999,"Par�","Outubro",5.026,1999-01-01
1999,"Sao Paulo","Dezembro",47,1999-01-01
2013,"Amapa","Outubro",385,2013-01-01
2015,"Tocantins","Dezembro",373,2015-01-01
2009,"Ceara","Outubro",435,2009-01-01
2017,"Paraiba","Setembro",30,2017-01-01
2007,"Sao Paulo","Maio",69,2007-01-01
2005,"Goias","Agosto",639,2005-01-01
2002,"Minas Gerais","Abril",99,2002-01-01
2014,"Amazonas","Agosto",3.852,2014-01-01
1998,"Roraima","Novembro",1,1998-01-01
2000,"Goias","Setembro",1.293,2000-01-01
2008,"Par�","Julho",971,2008-01-01
2017,"Piau","Fevereiro",24,2017-01-01
2012,"Rio","Janeiro",12,2012-01-01
2005,"Maranhao","Mar�o",9,2005-01-01
2002,"Amapa","Novembro",1.096,2002-01-01
2016,"Minas Gerais","Junho",263,2016-01-01
2001,"Pernambuco","Mar�o",0,2001-01-01
2014,"Amazonas","Abril",25,2014-01-01
2016,"Amapa","Maio",1,2016-01-01
2004,"Rio","Janeiro",70,2004-01-01
2013,"Maranhao","Outubro",2.918,2013-01-01
2006,"Distrito Federal","Outubro",1,2006-01-01
2007,"Rio","Julho",7,2007-01-01
2007,"Alagoas","Janeiro",33,2007-01-01
2004,"Acre","Mar�o",0,2004-01-01
2001,"Rio","Junho",13,2001-01-01
2011,"Pernambuco","Maio",1,2011-01-01
2016,"Roraima","Novembro",71,2016-01-01
2005,"Rio","Outubro",116,2005-01-01
2010,"Rio","Agosto",316,2010-01-01
2005,"Rio","Maio",3,2005-01-01
2005,"Maranhao","Setembro",6.292,2005-01-01
2010,"Alagoas","Novembro",31,2010-01-01
2003,"Tocantins","Dezembro",109,2003-01-01
2001,"Par�","Mar�o",0,2001-01-01
2012,"Santa Catarina","Dezembro",32,2012-01-01
2015,"Paraiba","Janeiro",120,2015-01-01
2011,"Par�","Setembro",5.185,2011-01-01
2000,"Ceara","Maio",7,2000-01-01
2000,"Maranhao","Junho",94,2000-01-01
2007,"Alagoas","Dezembro",33,2007-01-01
2005,"Minas Gerais","Outubro",6.546,2005-01-01
2003,"Minas Gerais","Novembro",399,2003-01-01
2000,"Minas Gerais","Novembro",43,2000-01-01
2002,"Espirito Santo","Junho",18,2002-01-01
2010,"Mato Grosso","Fevereiro",157,2010-01-01
1999,"Sergipe","Julho",0,1999-01-01
1998,"Sergipe","Fevereiro",0,1998-01-01
2013,"Mato Grosso","Setembro",1.074,2013-01-01
2004,"Rondonia","Fevereiro",12,2004-01-01
2000,"Mato Grosso","Maio",127,2000-01-01
2011,"Bahia","Novembro",176,2011-01-01
2004,"Amapa","Agosto",9,2004-01-01
1999,"Piau","Mar�o",4,1999-01-01
2000,"Tocantins","Janeiro",15,2000-01-01
2012,"Espirito Santo","Dezembro",18,2012-01-01
2007,"Par�","Setembro",14.59,2007-01-01
2000,"Sao Paulo","Mar�o",26,2000-01-01
2002,"Piau","Mar�o",63,2002-01-01
2007,"Roraima","Novembro",112,2007-01-01
2015,"Espirito Santo","Setembro",228,2015-01-01
2009,"Bahia","Janeiro",177,2009-01-01
2008,"Piau","Janeiro",61,2008-01-01
2000,"Rondonia","Mar�o",9,2000-01-01
2007,"Espirito Santo","Junho",4,2007-01-01
1998,"Pernambuco","Mar�o",0,1998-01-01
1999,"Maranhao","Abril",4,1999-01-01
1998,"Pernambuco","Setembro",177,1998-01-01
2000,"Paraiba","Julho",98,2000-01-01
2002,"Alagoas","Fevereiro",15,2002-01-01
1999,"Pernambuco","Agosto",3,1999-01-01
2013,"Sao Paulo","Janeiro",36,2013-01-01
1999,"Mato Grosso","Agosto",18.566,1999-01-01
2015,"Sergipe","Mar�o",49,2015-01-01
2005,"Sao Paulo","Janeiro",26,2005-01-01
1999,"Rio","Dezembro",1.11,1999-01-01
2003,"Distrito Federal","Setembro",17,2003-01-01
2000,"Rio","Agosto",18,2000-01-01
2011,"Pernambuco","Janeiro",49,2011-01-01
1998,"Rio","Dezembro",19,1998-01-01
2007,"Rio","Setembro",573,2007-01-01
2015,"Sao Paulo","Outubro",213,2015-01-01
2008,"Espirito Santo","Janeiro",12,2008-01-01
2003,"Sao Paulo","Julho",171,2003-01-01
2002,"Goias","Janeiro",12,2002-01-01
2009,"Bahia","Outubro",2.552,2009-01-01
2004,"Tocantins","Abril",52,2004-01-01
1999,"Paraiba","Mar�o",1,1999-01-01
2003,"Alagoas","Maio",1,2003-01-01
2009,"Pernambuco","Julho",1,2009-01-01
2016,"Paraiba","Fevereiro",31,2016-01-01
2009,"Par�","Julho",397,2009-01-01
2009,"Rondonia","Mar�o",12,2009-01-01
2012,"Goias","Setembro",2.452,2012-01-01
2013,"Roraima","Outubro",63,2013-01-01
2009,"Rondonia","Dezembro",9,2009-01-01
2017,"Pernambuco","Mar�o",7,2017-01-01
1999,"Distrito Federal","Janeiro",0,1999-01-01
2014,"Maranhao","Julho",2.068,2014-01-01
2007,"Mato Grosso","Agosto",14.453,2007-01-01
