"year","state","month","number","date"
2003,"Sao Paulo","Abril",106,2003-01-01
2001,"Piau","Abril",1,2001-01-01
1999,"Distrito Federal","Outubro",8,1999-01-01
2004,"Rio","Mar�o",1,2004-01-01
1998,"Amazonas","Outubro",83,1998-01-01
2015,"Goias","Abril",89,2015-01-01
2016,"Paraiba","Mar�o",1,2016-01-01
2004,"Roraima","Mar�o",276,2004-01-01
2009,"Alagoas","Maio",0,2009-01-01
2017,"Ceara","Setembro",505,2017-01-01
2005,"Mato Grosso","Fevereiro",871,2005-01-01
2001,"Mato Grosso","Maio",1.193,2001-01-01
2006,"Rondonia","Maio",7,2006-01-01
2002,"Roraima","Mar�o",820,2002-01-01
1998,"Piau","Julho",189,1998-01-01
1998,"Par�","Agosto",6.815,1998-01-01
2007,"Paraiba","Mar�o",54,2007-01-01
2007,"Roraima","Junho",1,2007-01-01
1998,"Maranhao","Dezembro",1.399,1998-01-01
1998,"Goias","Julho",512,1998-01-01
2004,"Ceara","Janeiro",143,2004-01-01
2013,"Rio","Janeiro",22,2013-01-01
2016,"Rio","Julho",13,2016-01-01
2013,"Rondonia","Setembro",1.776,2013-01-01
2007,"Amapa","Abril",0,2007-01-01
2011,"Sergipe","Mar�o",47,2011-01-01
2010,"Minas Gerais","Outubro",2.048,2010-01-01
2010,"Amazonas","Agosto",3.727,2010-01-01
2007,"Minas Gerais","Novembro",1.305,2007-01-01
2008,"Goias","Julho",193,2008-01-01
2017,"Par�","Novembro",9.079,2017-01-01
2002,"Alagoas","Outubro",30,2002-01-01
2002,"Piau","Agosto",2.28,2002-01-01
1998,"Amapa","Mar�o",0,1998-01-01
2011,"Distrito Federal","Agosto",61,2011-01-01
2008,"Par�","Novembro",2.403,2008-01-01
2013,"Maranhao","Maio",100,2013-01-01
2007,"Amapa","Agosto",5,2007-01-01
2008,"Paraiba","Julho",87,2008-01-01
2013,"Sergipe","Maio",1,2013-01-01
2002,"Par�","Outubro",5.189,2002-01-01
2014,"Acre","Agosto",1.1,2014-01-01
2017,"Mato Grosso","Agosto",6.229,2017-01-01
2005,"Rondonia","Julho",798,2005-01-01
2016,"Pernambuco","Dezembro",161,2016-01-01
2004,"Rio","Julho",156,2004-01-01
2007,"Minas Gerais","Dezembro",95,2007-01-01
2015,"Rondonia","Janeiro",30,2015-01-01
2017,"Par�","Fevereiro",14,2017-01-01
2011,"Goias","Julho",607,2011-01-01
2007,"Rio","Julho",15,2007-01-01
2008,"Roraima","Mar�o",422,2008-01-01
2008,"Acre","Setembro",1.666,2008-01-01
2017,"Roraima","Julho",3,2017-01-01
2016,"Sergipe","Setembro",2,2016-01-01
2011,"Amazonas","Julho",271,2011-01-01
2016,"Mato Grosso","Maio",97,2016-01-01
2010,"Sergipe","Maio",0,2010-01-01
2004,"Distrito Federal","Novembro",0,2004-01-01
2000,"Distrito Federal","Mar�o",0,2000-01-01
2015,"Piau","Junho",283,2015-01-01
2002,"Distrito Federal","Maio",1,2002-01-01
2011,"Rio","Janeiro",10,2011-01-01
2001,"Rio","Janeiro",2,2001-01-01
2014,"Sergipe","Novembro",9,2014-01-01
1998,"Maranhao","Setembro",3.935,1998-01-01
2010,"Minas Gerais","Agosto",3.353,2010-01-01
2005,"Pernambuco","Novembro",452,2005-01-01
2009,"Rondonia","Agosto",484,2009-01-01
2007,"Roraima","Setembro",9,2007-01-01
2008,"Sao Paulo","Novembro",20,2008-01-01
2014,"Goias","Setembro",1.687,2014-01-01
2003,"Mato Grosso","Outubro",541,2003-01-01
2008,"Pernambuco","Mar�o",32,2008-01-01
2011,"Pernambuco","Novembro",352,2011-01-01
2013,"Ceara","Abril",4,2013-01-01
2007,"Mato Grosso","Julho",1.79,2007-01-01
2002,"Paraiba","Mar�o",3,2002-01-01
2008,"Amapa","Dezembro",32,2008-01-01
2010,"Bahia","Agosto",2.423,2010-01-01
2000,"Paraiba","Abril",1,2000-01-01
2004,"Piau","Novembro",1.798,2004-01-01
1998,"Rondonia","Novembro",3,1998-01-01
2004,"Rio","Outubro",26,2004-01-01
2009,"Amazonas","Outubro",2.189,2009-01-01
2007,"Bahia","Janeiro",373,2007-01-01
2011,"Mato Grosso","Agosto",2.628,2011-01-01
2010,"Amapa","Junho",0,2010-01-01
2013,"Mato Grosso","Maio",72,2013-01-01
2004,"Acre","Julho",42,2004-01-01
1998,"Alagoas","Setembro",14,1998-01-01
2016,"Acre","Julho",533,2016-01-01
2016,"Bahia","Dezembro",164,2016-01-01
1998,"Piau","Janeiro",0,1998-01-01
2013,"Goias","Novembro",183,2013-01-01
2011,"Piau","Setembro",4.402,2011-01-01
2000,"Paraiba","Outubro",658,2000-01-01
2006,"Roraima","Mar�o",385,2006-01-01
2012,"Minas Gerais","Outubro",3.97,2012-01-01
2003,"Acre","Novembro",15,2003-01-01
2004,"Distrito Federal","Dezembro",0,2004-01-01
1998,"Rio","Mar�o",0,1998-01-01
1999,"Paraiba","Fevereiro",22,1999-01-01
2000,"Rondonia","Abril",0,2000-01-01
2002,"Rondonia","Outubro",3.554,2002-01-01
2015,"Rio","Dezembro",42,2015-01-01
1999,"Amazonas","Dezembro",2,1999-01-01
2001,"Distrito Federal","Agosto",25,2001-01-01
2000,"Paraiba","Maio",43,2000-01-01
2008,"Alagoas","Fevereiro",74,2008-01-01
1998,"Ceara","Setembro",590,1998-01-01
2013,"Amapa","Fevereiro",0,2013-01-01
2004,"Pernambuco","Maio",2,2004-01-01
2017,"Mato Grosso","Fevereiro",165,2017-01-01
2004,"Goias","Novembro",291,2004-01-01
2002,"Par�","Agosto",15.664,2002-01-01
2008,"Sao Paulo","Dezembro",36,2008-01-01
1999,"Maranhao","Maio",3,1999-01-01
2009,"Paraiba","Agosto",4,2009-01-01
2003,"Ceara","Maio",0,2003-01-01
2007,"Goias","Dezembro",16,2007-01-01
2004,"Bahia","Fevereiro",122,2004-01-01
2002,"Espirito Santo","Fevereiro",4,2002-01-01
2007,"Ceara","Dezembro",1.177,2007-01-01
2003,"Alagoas","Abril",20,2003-01-01
1999,"Sao Paulo","Fevereiro",47,1999-01-01
2011,"Rio","Junho",33,2011-01-01
2009,"Paraiba","Maio",0,2009-01-01
2014,"Mato Grosso","Junho",84,2014-01-01
2007,"Rio","Outubro",88,2007-01-01
2014,"Paraiba","Dezembro",78,2014-01-01
1999,"Espirito Santo","Setembro",64,1999-01-01
2015,"Alagoas","Janeiro",81,2015-01-01
2007,"Amazonas","Agosto",2.241,2007-01-01
2013,"Mato Grosso","Maio",739,2013-01-01
2010,"Rio","Julho",34,2010-01-01
2004,"Espirito Santo","Maio",0,2004-01-01
1998,"Mato Grosso","Fevereiro",0,1998-01-01
2009,"Rio","Janeiro",65,2009-01-01
2012,"Mato Grosso","Agosto",2.951,2012-01-01
2003,"Acre","Agosto",1.976,2003-01-01
2003,"Pernambuco","Setembro",510,2003-01-01
2017,"Sergipe","Janeiro",31,2017-01-01
2007,"Piau","Fevereiro",11,2007-01-01
2005,"Amapa","Agosto",4,2005-01-01
2006,"Paraiba","Junho",62,2006-01-01
2001,"Mato Grosso","Maio",112,2001-01-01
2015,"Ceara","Abril",3,2015-01-01
1998,"Rio","Abril",0,1998-01-01
2014,"Maranhao","Agosto",5.592,2014-01-01
2002,"Rondonia","Mar�o",1,2002-01-01
2002,"Mato Grosso","Agosto",14.086,2002-01-01
2001,"Alagoas","Mar�o",0,2001-01-01
2017,"Rio","Maio",15,2017-01-01
2011,"Santa Catarina","Novembro",79,2011-01-01
2003,"Alagoas","Mar�o",15,2003-01-01
2016,"Santa Catarina","Setembro",644,2016-01-01
2002,"Sao Paulo","Janeiro",19,2002-01-01
2014,"Acre","Dezembro",6,2014-01-01
2012,"Rondonia","Abril",12,2012-01-01
2011,"Par�","Mar�o",21,2011-01-01
2016,"Mato Grosso","Julho",687,2016-01-01
2015,"Minas Gerais","Novembro",1.453,2015-01-01
2005,"Goias","Novembro",144,2005-01-01
2004,"Rio","Dezembro",284,2004-01-01
2008,"Par�","Fevereiro",54,2008-01-01
2006,"Rio","Outubro",160,2006-01-01
2002,"Amazonas","Fevereiro",2,2002-01-01
2009,"Santa Catarina","Maio",33,2009-01-01
2009,"Amapa","Abril",0,2009-01-01
2013,"Paraiba","Novembro",126,2013-01-01
2002,"Mato Grosso","Setembro",11.034,2002-01-01
2011,"Tocantins","Junho",717,2011-01-01
2004,"Espirito Santo","Fevereiro",5,2004-01-01
2012,"Santa Catarina","Novembro",72,2012-01-01
2013,"Rio","Mar�o",44,2013-01-01
2013,"Santa Catarina","Novembro",84,2013-01-01
2014,"Ceara","Mar�o",6,2014-01-01
2006,"Rio","Setembro",197,2006-01-01
2004,"Mato Grosso","Maio",2.413,2004-01-01
2013,"Amazonas","Agosto",1.276,2013-01-01
2015,"Rio","Setembro",222,2015-01-01
2016,"Rio","Mar�o",1,2016-01-01
2012,"Minas Gerais","Abril",180,2012-01-01
2003,"Santa Catarina","Mar�o",58,2003-01-01
2015,"Piau","Agosto",2.057,2015-01-01
2006,"Santa Catarina","Junho",32,2006-01-01
2011,"Espirito Santo","Maio",2,2011-01-01
2016,"Espirito Santo","Julho",42,2016-01-01
2017,"Maranhao","Abril",91,2017-01-01
1998,"Maranhao","Julho",274,1998-01-01
2008,"Piau","Abril",7,2008-01-01
2001,"Sergipe","Outubro",5,2001-01-01
2003,"Bahia","Janeiro",439,2003-01-01
2017,"Goias","Abril",60,2017-01-01
2010,"Acre","Junho",1,2010-01-01
2005,"Tocantins","Junho",669,2005-01-01
2004,"Amapa","Maio",0,2004-01-01
2004,"Alagoas","Maio",3,2004-01-01
2016,"Minas Gerais","Agosto",1.433,2016-01-01
2017,"Amazonas","Julho",1.975,2017-01-01
2014,"Mato Grosso","Agosto",7.167,2014-01-01
2017,"Pernambuco","Junho",5,2017-01-01
2011,"Distrito Federal","Julho",53,2011-01-01
2003,"Tocantins","Junho",329,2003-01-01
2011,"Amazonas","Mar�o",49,2011-01-01
2013,"Roraima","Setembro",18,2013-01-01
1999,"Distrito Federal","Maio",0,1999-01-01
2012,"Goias","Outubro",1.524,2012-01-01
2002,"Pernambuco","Abril",5,2002-01-01
2009,"Piau","Fevereiro",19,2009-01-01
2011,"Sao Paulo","Dezembro",53,2011-01-01
2003,"Rondonia","Setembro",6.89,2003-01-01
2001,"Acre","Maio",0,2001-01-01
2016,"Minas Gerais","Maio",186,2016-01-01
2004,"Rio","Julho",5,2004-01-01
2014,"Maranhao","Abril",78,2014-01-01
2004,"Amapa","Janeiro",38,2004-01-01
2010,"Amazonas","Junho",9,2010-01-01
1998,"Rondonia","Maio",0,1998-01-01
2008,"Distrito Federal","Dezembro",0,2008-01-01
2015,"Paraiba","Outubro",121,2015-01-01
2004,"Tocantins","Setembro",5.308,2004-01-01
2002,"Bahia","Julho",549,2002-01-01
2007,"Amapa","Outubro",162,2007-01-01
1999,"Goias","Agosto",1.198,1999-01-01
2011,"Rio","Outubro",74,2011-01-01
2003,"Minas Gerais","Agosto",1.955,2003-01-01
2016,"Bahia","Julho",345,2016-01-01
2008,"Espirito Santo","Julho",5,2008-01-01
2009,"Tocantins","Outubro",718,2009-01-01
2016,"Paraiba","Janeiro",113,2016-01-01
2016,"Roraima","Fevereiro",171,2016-01-01
2009,"Piau","Agosto",790,2009-01-01
2013,"Bahia","Julho",362,2013-01-01
2011,"Roraima","Janeiro",225,2011-01-01
2009,"Piau","Dezembro",570,2009-01-01
2017,"Amapa","Janeiro",2,2017-01-01
2006,"Santa Catarina","Abril",30,2006-01-01
2011,"Distrito Federal","Outubro",0,2011-01-01
2012,"Bahia","Mar�o",404,2012-01-01
2002,"Piau","Abril",87,2002-01-01
2010,"Acre","Mar�o",0,2010-01-01
2015,"Acre","Novembro",115,2015-01-01
2008,"Roraima","Junho",0,2008-01-01
2001,"Ceara","Outubro",2.045,2001-01-01
2004,"Piau","Fevereiro",20,2004-01-01
2004,"Amapa","Dezembro",777,2004-01-01
2013,"Rondonia","Julho",117,2013-01-01
2004,"Par�","Dezembro",5.508,2004-01-01
2012,"Goias","Abril",89,2012-01-01
2008,"Tocantins","Setembro",2.39,2008-01-01
2005,"Amazonas","Setembro",2.812,2005-01-01
2002,"Rio","Outubro",140,2002-01-01
2002,"Distrito Federal","Julho",33,2002-01-01
2017,"Sergipe","Abril",8,2017-01-01
2010,"Goias","Setembro",5.075,2010-01-01
2007,"Acre","Setembro",2.08,2007-01-01
2008,"Paraiba","Novembro",175,2008-01-01
2017,"Tocantins","Julho",2.397,2017-01-01
2000,"Rio","Outubro",28,2000-01-01
2007,"Pernambuco","Outubro",702,2007-01-01
2013,"Rio","Fevereiro",24,2013-01-01
2014,"Rio","Dezembro",47,2014-01-01
2000,"Piau","Dezembro",79,2000-01-01
2016,"Piau","Maio",60,2016-01-01
2005,"Sao Paulo","Agosto",522,2005-01-01
2012,"Tocantins","Fevereiro",45,2012-01-01
2015,"Espirito Santo","Junho",18,2015-01-01
1999,"Rondonia","Setembro",3.062,1999-01-01
2013,"Alagoas","Maio",2,2013-01-01
2005,"Ceara","Mar�o",5,2005-01-01
2007,"Roraima","Agosto",2,2007-01-01
2012,"Goias","Junho",245,2012-01-01
2017,"Sao Paulo","Novembro",37,2017-01-01
2002,"Amapa","Dezembro",200,2002-01-01
2011,"Pernambuco","Julho",2,2011-01-01
2017,"Minas Gerais","Abril",69,2017-01-01
2008,"Rondonia","Janeiro",4,2008-01-01
2004,"Mato Grosso","Abril",441,2004-01-01
2001,"Bahia","Dezembro",158,2001-01-01
1999,"Par�","Janeiro",87,1999-01-01
2008,"Minas Gerais","Setembro",2.552,2008-01-01
2010,"Rio","Novembro",212,2010-01-01
2004,"Pernambuco","Julho",13,2004-01-01
2001,"Ceara","Julho",146,2001-01-01
2015,"Maranhao","Julho",1.642,2015-01-01
2006,"Par�","Abril",2,2006-01-01
2014,"Sergipe","Setembro",4,2014-01-01
2000,"Rio","Mar�o",51,2000-01-01
2006,"Rio","Fevereiro",7,2006-01-01
1998,"Alagoas","Janeiro",0,1998-01-01
2014,"Amazonas","Junho",74,2014-01-01
2006,"Tocantins","Maio",35,2006-01-01
2006,"Rondonia","Novembro",253,2006-01-01
2016,"Sergipe","Janeiro",9,2016-01-01
1999,"Mato Grosso","Agosto",4.355,1999-01-01
2002,"Santa Catarina","Julho",82,2002-01-01
2015,"Mato Grosso","Novembro",276,2015-01-01
2013,"Paraiba","Dezembro",78,2013-01-01
2015,"Acre","Julho",109,2015-01-01
2004,"Maranhao","Agosto",1.889,2004-01-01
2013,"Pernambuco","Abril",11,2013-01-01
2008,"Mato Grosso","Junho",403,2008-01-01
2003,"Mato Grosso","Agosto",953,2003-01-01
2011,"Mato Grosso","Mar�o",252,2011-01-01
2008,"Paraiba","Fevereiro",20,2008-01-01
2017,"Mato Grosso","Junho",175,2017-01-01
2017,"Distrito Federal","Mar�o",0,2017-01-01
2015,"Pernambuco","Fevereiro",55,2015-01-01
2015,"Paraiba","Abril",11,2015-01-01
2014,"Piau","Fevereiro",14,2014-01-01
2004,"Paraiba","Fevereiro",42,2004-01-01
2004,"Amapa","Junho",5,2004-01-01
2000,"Espirito Santo","Outubro",88,2000-01-01
2010,"Piau","Janeiro",99,2010-01-01
2002,"Alagoas","Dezembro",95,2002-01-01
2000,"Santa Catarina","Agosto",69,2000-01-01
1998,"Rondonia","Setembro",3.753,1998-01-01
2011,"Rio","Dezembro",125,2011-01-01
2012,"Alagoas","Julho",0,2012-01-01
2004,"Pernambuco","Mar�o",6,2004-01-01
2011,"Espirito Santo","Dezembro",1,2011-01-01
2002,"Ceara","Janeiro",33,2002-01-01
2007,"Goias","Mar�o",49,2007-01-01
2007,"Pernambuco","Fevereiro",21,2007-01-01
2002,"Amazonas","Novembro",259,2002-01-01
2014,"Espirito Santo","Agosto",47,2014-01-01
2002,"Pernambuco","Fevereiro",19,2002-01-01
2010,"Sao Paulo","Agosto",1.809,2010-01-01
2005,"Par�","Novembro",4.968,2005-01-01
2014,"Goias","Maio",210,2014-01-01
1999,"Alagoas","Maio",1,1999-01-01
2007,"Espirito Santo","Julho",13,2007-01-01
2006,"Amapa","Novembro",207,2006-01-01
2007,"Maranhao","Dezembro",800,2007-01-01
2008,"Ceara","Fevereiro",12,2008-01-01
2001,"Par�","Abril",0,2001-01-01
2014,"Amazonas","Setembro",3.057,2014-01-01
2007,"Rio","Junho",10,2007-01-01
1998,"Paraiba","Julho",0,1998-01-01
2003,"Paraiba","Dezembro",288,2003-01-01
2013,"Acre","Maio",4,2013-01-01
2009,"Rio","Agosto",91,2009-01-01
2017,"Piau","Agosto",1.572,2017-01-01
2011,"Minas Gerais","Julho",801,2011-01-01
2011,"Roraima","Abril",108,2011-01-01
2003,"Sergipe","Abril",48,2003-01-01
2002,"Minas Gerais","Dezembro",225,2002-01-01
2013,"Goias","Fevereiro",86,2013-01-01
2012,"Distrito Federal","Novembro",0,2012-01-01
1998,"Sergipe","Agosto",0,1998-01-01
2013,"Piau","Dezembro",468,2013-01-01
2015,"Rio","Agosto",158,2015-01-01
2016,"Rio","Maio",1,2016-01-01
2014,"Paraiba","Janeiro",86,2014-01-01
2017,"Rondonia","Janeiro",44,2017-01-01
2003,"Paraiba","Fevereiro",3,2003-01-01
1999,"Rio","Junho",8,1999-01-01
2001,"Amapa","Julho",1,2001-01-01
2002,"Piau","Fevereiro",160,2002-01-01
1999,"Maranhao","Agosto",895,1999-01-01
2002,"Santa Catarina","Junho",0,2002-01-01
2006,"Roraima","Fevereiro",283,2006-01-01
2007,"Rondonia","Setembro",6.832,2007-01-01
2007,"Alagoas","Julho",0,2007-01-01
2002,"Pernambuco","Maio",13,2002-01-01
2016,"Rondonia","Junho",170,2016-01-01
2013,"Espirito Santo","Abril",16,2013-01-01
1999,"Espirito Santo","Abril",2,1999-01-01
2010,"Sao Paulo","Junho",143,2010-01-01
1999,"Santa Catarina","Setembro",101,1999-01-01
2008,"Mato Grosso","Mar�o",97,2008-01-01
2003,"Espirito Santo","Mar�o",28,2003-01-01
2010,"Rondonia","Setembro",4.893,2010-01-01
2006,"Paraiba","Outubro",135,2006-01-01
2013,"Roraima","Junho",6,2013-01-01
2005,"Roraima","Abril",22,2005-01-01
2009,"Alagoas","Janeiro",104,2009-01-01
2010,"Sao Paulo","Dezembro",52,2010-01-01
1998,"Rio","Junho",0,1998-01-01
2007,"Rondonia","Maio",4,2007-01-01
1999,"Alagoas","Setembro",3,1999-01-01
2007,"Sao Paulo","Novembro",50,2007-01-01
2003,"Alagoas","Julho",0,2003-01-01
2003,"Acre","Mar�o",0,2003-01-01
2015,"Mato Grosso","Agosto",1.293,2015-01-01
2002,"Rio","Agosto",48,2002-01-01
2014,"Roraima","Julho",9,2014-01-01
2010,"Mato Grosso","Setembro",18.366,2010-01-01
2002,"Minas Gerais","Junho",207,2002-01-01
2010,"Amapa","Novembro",339,2010-01-01
2009,"Piau","Outubro",913,2009-01-01
2013,"Distrito Federal","Novembro",0,2013-01-01
2008,"Roraima","Maio",8,2008-01-01
2004,"Distrito Federal","Julho",37,2004-01-01
2011,"Goias","Agosto",1.613,2011-01-01
2009,"Tocantins","Agosto",1.124,2009-01-01
2005,"Pernambuco","Mar�o",45,2005-01-01
2017,"Acre","Junho",45,2017-01-01
2016,"Alagoas","Janeiro",24,2016-01-01
2001,"Ceara","Maio",81,2001-01-01
2008,"Maranhao","Maio",26,2008-01-01
2002,"Roraima","Dezembro",199,2002-01-01
2012,"Sergipe","Novembro",6,2012-01-01
2013,"Santa Catarina","Junho",31,2013-01-01
2013,"Espirito Santo","Agosto",53,2013-01-01
2008,"Mato Grosso","Outubro",6.326,2008-01-01
2017,"Paraiba","Julho",2,2017-01-01
2009,"Roraima","Novembro",312,2009-01-01
2008,"Sergipe","Agosto",0,2008-01-01
2008,"Bahia","Mar�o",135,2008-01-01
2011,"Mato Grosso","Julho",250,2011-01-01
2007,"Mato Grosso","Mar�o",137,2007-01-01
2001,"Santa Catarina","Janeiro",11,2001-01-01
2006,"Mato Grosso","Novembro",1.031,2006-01-01
2010,"Piau","Dezembro",357,2010-01-01
2013,"Distrito Federal","Fevereiro",1,2013-01-01
2006,"Alagoas","Julho",0,2006-01-01
2012,"Espirito Santo","Junho",15,2012-01-01
2010,"Acre","Julho",126,2010-01-01
2009,"Bahia","Fevereiro",117,2009-01-01
2003,"Rio","Fevereiro",9,2003-01-01
2015,"Minas Gerais","Julho",288,2015-01-01
2013,"Alagoas","Outubro",25,2013-01-01
2014,"Pernambuco","Agosto",23,2014-01-01
2013,"Pernambuco","Janeiro",55,2013-01-01
1998,"Alagoas","Maio",0,1998-01-01
2007,"Par�","Julho",476,2007-01-01
2015,"Alagoas","Julho",0,2015-01-01
1998,"Acre","Dezembro",7,1998-01-01
2014,"Roraima","Mar�o",494,2014-01-01
2012,"Santa Catarina","Agosto",398,2012-01-01
2002,"Distrito Federal","Novembro",1,2002-01-01
2010,"Paraiba","Abril",2,2010-01-01
2000,"Mato Grosso","Janeiro",44,2000-01-01
2017,"Roraima","Maio",29,2017-01-01
2005,"Paraiba","Novembro",280,2005-01-01
2011,"Mato Grosso","Novembro",445,2011-01-01
1999,"Espirito Santo","Mar�o",8,1999-01-01
2012,"Ceara","Janeiro",273,2012-01-01
2014,"Goias","Abril",138,2014-01-01
2015,"Rio","Maio",21,2015-01-01